Full Name,First Name,Last Name,District / State,Type,Party,First Elected,Gender,Race/ Ethnicity,Religion,LGBTQ,Pre-2020 Incumbent,Senate Class,Birthday,Age,Twitter,Facebook,YouTube,Prior Experience,Education,Veteran?
Jeff Fortenberry,Jeff,Fortenberry,Nebraska's 1st,Representative,Republican,2004,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,12/27/1960,60,JeffFortenberry,jefffortenberry,JeffFortenberry,Lincoln city councilBusinessman,Louisiana State University (BA)Georgetown University (MPP)Franciscan University (ThM),No
Jeff Van Drew,Jeff,Van Drew,New Jersey's 2nd,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/23/1953,68,CongressmanJVD,,,New Jersey SenateNew Jersey General Assembly,"Rutgers University, New Brunswick (BS)Fairleigh Dickinson University (DMD)",No
Jennifer Wexton,Jennifer,Wexton,Virginia's 10th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Unknown/Refused,No,Won,N/A,5/27/1968,53,RepWexton,,,Virginia Senate,"University of Maryland, College Park (BA)College of William and Mary (JD)",No
Jerry Carl,Jerry,Carl,Alabama's 1st,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Open - Ran for Senate,N/A,6/17/1958,63,RepJerryCarl,,,Mobile County Commission,Florida Gateway College,No
Jerry McNerney,Jerry,McNerney,California's 9th,Representative,Democratic,2006,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/18/1951,70,RepMcNerney,jerrymcnerney,RepJerryMcNerney,Engineering executive,"United States Military AcademyUniversity of New Mexico (BS, MS, PhD)",No
Jerry Nadler,Jerry,Nadler,New York's 10th,Representative,Democratic,1992 Special,Man,White - Non-Hispanic,Jewish,No,Won,N/A,6/13/1947,74,RepJerryNadler,CongressmanNadler,congressmannadler,New York State Assembly,Columbia University (BA)Fordham University (JD),No
Jim Baird,Jim,Baird,Indiana's 4th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,6/4/1945,76,RepJimBaird,,,Indiana House of RepresentativesPutnam County Commission,"Purdue University, West Lafayette (BS, MS)University of Kentucky (PhD)",Yes
Jim Banks,Jim,Banks,Indiana's 3rd,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,7/16/1979,41,RepJimBanks,RepJimBanks,,Indiana Senate,Indiana University Bloomington (BA)Grace College & Seminary (MBA),Yes
Jim Clyburn,Jim,Clyburn,South Carolina's 6th,Representative,Democratic,1992,Man,Black - African-American,Christian - Protestant - African Methodist Episcopal,No,Won,N/A,7/21/1940,80,WhipClyburn,jameseclyburn,repjamesclyburn,Political aideTeacher,South Carolina State University (BA),No
Jim Cooper,Jim,Cooper,Tennessee's 5th,Representative,Democratic,"2002, 1982-1994",Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,6/19/1954,67,RepJimCooper,JimCooper,RepJimCooper,U.S. HouseCollege professor,"University of North Carolina at Chapel Hill (BA)Oriel College, Oxford (MA)Harvard University (JD)",No
Jim Costa,Jim,Costa,California's 16th,Representative,Democratic,2004,Man,White - Portuguese-American,Christian - Roman Catholic,No,Won,N/A,4/13/1952,69,RepJimCosta,RepJimCosta,RepJimCostaCA20,California State SenateCalifornia State Assembly,"California State University, Fresno (BA)",No
Jim Hagedorn,Jim,Hagedorn,Minnesota's 1st,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,8/4/1962,58,RepHagedorn,,,"Director for Legislative and Public Affairs for the Financial Management Service, United States Department of the TreasuryCongressional Affairs Officer, Bureau of Engraving and Printing",George Mason University (BA),No
Jim Himes,Jim,Himes,Connecticut's 4th,Representative,Democratic,2008,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,7/5/1966,55,JAHimes,CongressmanJimHimes,congressmanhimes,Financial executiveGreenwich Housing Authority Board,"Harvard University (BA)St Edmund Hall, Oxford (MPhil)",No
Jim Jordan,Jim,Jordan,Ohio's 4th,Representative,Republican,2006,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,2/17/1964,57,Jim_Jordan,repjimjordan,RepJimJordan,Ohio SenateOhio House of Representatives,University of Wisconsin–Madison (BS)Ohio State University (MA)Capital University (JD),No
Jim Langevin,Jim,Langevin,Rhode Island's 2nd,Representative,Democratic,2000,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,4/22/1964,57,JimLangevin,CongressmanJimLangevin,jimlangevin,Secretary of State of Rhode IslandRhode Island House of Representatives,Rhode Island College (BA)Harvard University (MPA),No
Jim McGovern,Jim,McGovern,Massachusetts' 2nd,Representative,Democratic,1996,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/20/1959,61,RepMcGovern,RepJimMcGovern,repjimmcgovern,Congressional staff member,"American University (BA, MPA)",No
Jimmy Gomez,Jimmy,Gomez,California's 34th,Representative,Democratic,2017 Special,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,11/25/1974,46,RepJimmyGomez,RepJimmyGomez,,California State Assembly,"University of California, Los Angeles (BA)Harvard University (MPP)",No
Jimmy Panetta,Jimmy,Panetta,California's 20th,Representative,Democratic,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,10/1/1969,51,RepJimmyPanetta,RepJimmyPanetta,,Deputy district attorney of Monterey County,"Monterey Peninsula CollegeUniversity of California, Davis (BA)Santa Clara University(JD)",Yes
Joaquin Castro,Joaquin,Castro,Texas' 20th,Representative,Democratic,2012,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,9/16/1974,46,JoaquinCastrotx,326420614138023,JoaquinCastroTX,Texas House of Representatives,Stanford University (BA)Harvard University (JD),No
Jodey Arrington,Jodey,Arrington,Texas' 19th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,3/9/1972,49,RepArrington,JodeyArrington,,EducatorPublic administratorWhite House aide,"Texas Tech University (BA, MPA)",No
Jody Hice,Jody,Hice,Georgia's 10th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,4/22/1960,61,congressmanhice,CongressmanJodyHice,,Radio show hostSouthern Baptist pastor,Asbury University (BA)Southwestern Baptist Theological Seminary (MDiv)Luther Rice College and Seminary (DMin),No
Joe Courtney,Joe,Courtney,Connecticut's 2nd,Representative,Democratic,2006,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,4/6/1953,68,RepJoeCourtney,joecourtney,repcourtney,Connecticut House of Representatives,Tufts University (BA)University of Connecticut (JD),No
Joe Morelle,Joe,Morelle,New York's 25th,Representative,Democratic,2018 Special,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,4/29/1957,64,RepJoeMorelle,,,New York State Assembly,State University of New York at Geneseo (BA),No
Joe Neguse,Joe,Neguse,Colorado's 2nd,Representative,Democratic,2018,Man,Black - Eritrean,Christian - Protestant,No,Won,N/A,5/13/1984,37,RepJoeNeguse,,,Executive Director of the Colorado Department of Regulatory AgenciesRegents of the University of Colorado,"University of Colorado, Boulder (BA, JD)",No
Joe Wilson,Joe,Wilson,South Carolina's 2nd,Representative,Republican,2001 Special,Man,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,7/31/1947,73,RepJoeWilson,JoeWilson,RepJoeWilson,South Carolina Senate,Washington and Lee University (BA)University of South Carolina (JD),Yes
John Carter,John,Carter,Texas' 31st,Representative,Republican,2002,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,11/6/1941,79,JudgeCarter,judgecarter,repjohncarter,Texas state district judge,Texas Tech University (BA)University of Texas at Austin (JD),No
John Curtis,John,Curtis,Utah's 3rd,Representative,Republican,2017 Special,Man,White - Non-Hispanic,Christian - Mormon,No,Won,N/A,5/10/1960,61,RepJohnCurtis,RepJohnCurtis,,Mayor of Provo,Brigham Young University (BS),No
John Garamendi,John,Garamendi,California's 3rd,Representative,Democratic,2009 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,1/24/1945,76,RepGaramendi,repgaramendi,garamendiCA10,United States Deputy Secretary of the InteriorLieutenant Governor of CaliforniaCalifornia Insurance CommissionerCalifornia State SenateCalifornia State Assembly,"University of California, Berkeley (BA)Harvard University (MBA)",No
John Joyce,John,Joyce,Pennsylvania's 13th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/8/1957,64,RepJohnJoyce,,,Dermatologist,"Pennsylvania State University, AltoonaPennsylvania State University, University Park (BS)Temple University (MD)",No
John Katko,John,Katko,New York's 24th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,11/9/1962,58,RepJohnKatko,RepJohnKatko,,"Attorney, Prosecutor U.S. Attorney's Office",Niagara University (BA)Syracuse University (JD),No
John Larson,John,Larson,Connecticut's 1st,Representative,Democratic,1998,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,7/22/1948,72,RepJohnLarson,RepJohnLarson,RepJohnLarson,Connecticut SenateEast Hartford City CouncilEast Hartford Board of Education,Central Connecticut State University (BA),No
John Moolenaar,John,Moolenaar,Michigan's 4th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,5/8/1961,60,RepMoolenaar,RepMoolenaar,,Michigan SenateMichigan House of Representatives,Hope College (BS)Harvard University (MPA),No
John Rose,John,Rose,Tennessee's 6th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,2/23/1965,56,RepJohnRose,,,Commissioner of Agriculture of Tennessee,"Tennessee Technological University (BS)Purdue University, West Lafayette (MS)Vanderbilt University (JD)",No
John Rutherford,John,Rutherford,Florida's 4th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,9/2/1952,68,RepRutherfordFL,RepRutherfordFL,,Sheriff of Duval County,Florida State CollegeFlorida State University (BS),No
John Sarbanes,John,Sarbanes,Maryland's 3rd,Representative,Democratic,2006,Man,White - Non-Hispanic,Christian - Eastern Orthodox,No,Won,N/A,5/22/1962,59,RepSarbanes,RepSarbanes,RepJohnSarbanes,AttorneyLaw clerk,Princeton University (BA)Harvard University (JD),No
John Yarmuth,John,Yarmuth,Kentucky's 3rd,Representative,Democratic,2006,Man,White - Non-Hispanic,Jewish,No,Won,N/A,11/4/1947,73,RepJohnYarmuth,214258646163,RepJohnYarmuth,"Newspaper publisherVice-President for University Relations, University of Louisville",Yale University (BA)Georgetown University,No
Josh Gottheimer,Josh,Gottheimer,New Jersey's 5th,Representative,Democratic,2016,Man,White - Non-Hispanic,Jewish,No,Won,N/A,3/8/1975,46,RepJoshG,RepJoshG,,AttorneyPolitical aide,"University of Pennsylvania (BA)Pembroke College, OxfordHarvard University (JD)",No
Josh Harder,Josh,Harder,California's 10th,Representative,Democratic,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,8/1/1986,34,RepJoshHarder,,,Venture capitalistProfessor,"Stanford University (BA)Harvard University (MBA, MPP)",No
Joyce Beatty,Joyce,Beatty,Ohio's 3rd,Representative,Democratic,2012,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,3/12/1950,71,RepBeatty,RepJoyceBeatty,,Ohio House of Representatives,Central State University (BA)Wright State University (MS)University of Cincinnati,No
Juan Vargas,Juan,Vargas,California's 51st,Representative,Democratic,2012,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,3/7/1961,60,RepJuanVargas,RepJuanVargas,RepJuanVargas,California State SenateCalifornia State AssemblySan Diego City Council,University of San Diego (BA)Fordham University (MA)Harvard University (JD),No
Judy Chu,Judy,Chu,California's 27th,Representative,Democratic,2009 Special,Woman,Asian - Chinese,Unitarian Universalist,No,Won,N/A,7/7/1953,67,RepJudyChu,RepJudyChu,RepJudyChu,Mayor of Monterey ParkMonterey Park City CouncilCalifornia State AssemblyCalifornia State Board of Equalization,"University of California, Los Angeles (BA)Alliant International University (MA, PhD)",No
Julia Brownley,Julia,Brownley,California's 26th,Representative,Democratic,2012,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,8/28/1952,68,RepBrownley,RepJuliaBrownley,RepJuliaBrownley,California State Assembly,George Washington University (BA)American University (MBA),No
Julia Letlow,Julia,Letlow,Louisiana's 5th,Representative,Republican,2021 Special,Woman,White - Non-Hispanic,Christian,No,Open - Retired,N/A,3/16/1981,40,,,,College administrator,"University of Louisiana at Monroe (BA, MA)University of South Florida (PhD)",No
Kai Kahele,Kai,Kahele,Hawaii's 2nd,Representative,Democratic,2020,Man,Native Hawaiian,Unknown/Refused,No,Open - Retired,N/A,3/28/1974,47,RepKahele,,,Hawaii Senate,University of Hawai'i at Mānoa (BA),Yes
Karen Bass,Karen,Bass,California's 37th,Representative,Democratic,2010,Woman,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,10/3/1953,67,RepKarenBass,RepKarenBass,RepKarenBass,Speaker of the California State Assembly,"San Diego State UniversityCalifornia State University, Dominguez Hills (BS)",No
Kat Cammack,Kat,Cammack,Florida's 3rd,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,N/A,2/16/1988,33,RepKatCammack,,,Political advisor,Metropolitan State University of Denver (BA)Naval War College (MS),No
Katherine Clark,Katherine,Clark,Massachusetts' 5th,Representative,Democratic,2013 Special,Woman,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,7/17/1963,57,RepKClark,CongresswomanClark,,Massachusetts SenateMassachusetts House of RepresentativesAttorney,St. Lawrence University (BA)Cornell University (JD)Harvard University (MPA),No
Kathleen Rice,Kathleen,Rice,New York's 4th,Representative,Democratic,2014,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,2/15/1965,56,RepKathleenRice,RepKathleenRice,,District Attorney of Nassau County,Catholic University of America (BA)Touro College (JD),No
Kathy Castor,Kathy,Castor,Florida's 14th,Representative,Democratic,2006,Woman,White - Non-Hispanic,Christian - Protestant - Presbyterian,No,Won,N/A,8/20/1966,54,USRepKCastor,USRepKathyCastor,RepKathyCastor,Assistant General Counsel to the Florida Department of Community AffairsPresident of the Florida Association of Women LawyersHillsborough County Board of Commissioners,Emory University (BA)Florida State University (JD),No
Kathy Manning,Kathy,Manning,North Carolina's 6th,Representative,Democratic,2020,Woman,White - Non-Hispanic,Jewish,No,Open - Retired,N/A,12/3/1956,64,RepKManning,,,Attorney,Harvard University (AB)University of Michigan (JD),No
Katie Porter,Katie,Porter,California's 45th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,1/3/1974,47,RepKatiePorter,,,AttorneyProfessor,Yale University (BA)Harvard University (JD),No
Kay Granger,Kay,Granger,Texas' 12th,Representative,Republican,1996,Woman,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,1/18/1943,78,RepKayGranger,RepKayGranger,RepKayGranger,Mayor of Fort Worth,Texas Wesleyan University (BA),No
Kelly Armstrong,Kelly,Armstrong,North Dakota's At-Large,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,10/8/1976,44,RepArmstrongND,,,North Dakota SenateChair of the North Dakota Republican Party,"University of North Dakota (BA, JD)",No
Ken Buck,Ken,Buck,Colorado's 4th,Representative,Republican,2014,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,2/16/1959,62,RepKenBuck,repkenbuck,,Weld County District Attorney,Princeton University (BA)University of Wyoming (JD),No
Ken Calvert,Ken,Calvert,California's 42nd,Representative,Republican,1992,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,6/8/1953,68,KenCalvert,70063393423,RepKenCalvert,Real estate executive,Chaffey CollegeSan Diego State University (BA),No
Kevin Brady,Kevin,Brady,Texas' 8th,Representative,Republican,1996,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,4/11/1955,66,RepKevinBrady,kevinbrady,KBrady8,Texas House of Representatives,University of South Dakota (BA),No
Kevin Hern,Kevin,Hern,Oklahoma's 1st,Representative,Republican,2018 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,12/4/1961,59,repkevinhern,,,Businessman,"Arkansas Tech University (BS)Georgia Institute of TechnologyUniversity of Arkansas, Little Rock (MBA)",No
Kevin McCarthy,Kevin,McCarthy,California's 23rd,Representative,Republican,2006,Man,White - Non-Hispanic,Christian - Protestant - Baptist,No,Won,N/A,1/26/1965,56,GOPLeader,CongressmanKevinMcCarthy,repkevinmccarthy,California State Assembly,"California State University, Bakersfield (BS, MBA)",No
Kim Schrier,Kim,Schrier,Washington's 8th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,8/23/1968,52,RepKimSchrier,,,Pediatrician,"University of California, Berkeley (BS)University of California, Davis (MD)",No
Kurt Schrader,Kurt,Schrader,Oregon's 5th,Representative,Democratic,2008,Man,White - Non-Hispanic,Christian - Protestant - Episcopalian,No,Won,N/A,10/19/1951,69,RepSchrader,repschrader,repkurtschrader,VeterinarianOregon State Senate,"Cornell University (BA)University of Illinois at Urbana–Champaign (BS, DVM)",No
Kweisi Mfume,Kweisi,Mfume,Maryland's 7th,Representative,Democratic,"2020 Special, 1986-1996",Man,Black - African-American,Christian - Protestant - Baptist,No,Won,N/A,10/24/1948,72,RepKweisiMfume,RepKweisiMfume,,Baltimore City Council U.S. House President of the NAACP,Baltimore City Community CollegeMorgan State University (BA)Johns Hopkins University (MA),No
Lance Gooden,Lance,Gooden,Texas' 5th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Restorationist,No,Won,N/A,12/1/1982,38,,,,Texas House of Representatives,"University of Texas, Austin (BA, BBA)",No
Larry Bucshon,Larry,Bucshon,Indiana's 8th,Representative,Republican,2010,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,5/31/1962,59,RepLarryBucshon,RepLarryBucshon,RepLarryBucshon,Heart surgeon,University of Illinois at Urbana–Champaign (BS)University of Illinois at Chicago (MD),Yes
Lauren Boebert,Lauren,Boebert,Colorado's 3rd,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant - Nondenominational,No,Open - Lost in primary,N/A,12/15/1986,34,RepBoebert,,,BusinesswomanRestauranteur,–,No
Lauren Underwood,Lauren,Underwood,Illinois' 14th,Representative,Democratic,2018,Woman,Black - African-American,Christian - Protestant,No,Won,N/A,10/4/1986,34,RepUnderwood,,,Registered nurse,"University of Michigan (BSN)Johns Hopkins University (MSN, MPH)",No
Lee Zeldin,Lee,Zeldin,New York's 1st,Representative,Republican,2014,Man,White - Non-Hispanic,Jewish,No,Won,N/A,1/30/1980,41,RepLeeZeldin,RepLeeZeldin,,New York Senate,"University at Albany, SUNY (BA)Union University, New York (JD)",Yes
Linda Sánchez,Linda,Sánchez,California's 38th,Representative,Democratic,2002,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,1/28/1969,52,RepLindaSanchez,CongresswomanLindaSanchez,LindaTSanchez,Attorney,"University of California, Berkeley (BA)University of California, Los Angeles (JD)",No
Lisa Blunt Rochester,Lisa,Blunt Rochester,Delaware's At-Large,Representative,Democratic,2016,Woman,Black - African-American,Christian - Protestant,No,Won,N/A,2/10/1962,59,RepLBR,Rep.BluntRochester,,Delaware Health and Social Services SecretaryDelaware Labor SecretaryDelaware Personnel Director,Fairleigh Dickinson University(BA)University of Delaware (MA),No
Lisa McClain,Lisa,McClain,Michigan's 10th,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,N/A,4/7/1966,55,RepLisaMcClain,,,Businesswoman,Lansing Community CollegeNorthwood University (BA),No
Liz Cheney,Liz,Cheney,Wyoming's At-Large,Representative,Republican,2016,Woman,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,7/28/1966,54,RepLizCheney,replizcheney,,Principal Deputy Assistant Secretary of State for Near Eastern Affairs,Colorado College (BA)University of Chicago (JD),No
Lizzie Fletcher,Lizzie,Fletcher,Texas' 7th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,2/13/1975,46,RepFletcher,,,Attorney,Kenyon College (BA)College of William and Mary (JD),No
Lloyd Doggett,Lloyd,Doggett,Texas' 35th,Representative,Democratic,1994,Man,White - Non-Hispanic,Christian - Protestant - Methodist,No,Won,N/A,10/6/1946,74,RepLloydDoggett,lloyddoggett,doggett,Texas SenateTexas Supreme Court justiceCollege professor,"University of Texas at Austin (BA, JD)",No
Lloyd Smucker,Lloyd,Smucker,Pennsylvania's 11th,Representative,Republican,2016,Man,White - Non-Hispanic,Christian - Protestant - Lutheran,No,Won,N/A,1/23/1964,57,RepSmucker,RepSmucker,,Pennsylvania Senate,Lebanon Valley CollegeFranklin and Marshall College,No
Lois Frankel,Lois,Frankel,Florida's 21st,Representative,Democratic,2012,Woman,White - Non-Hispanic,Jewish,No,Won,N/A,5/16/1948,73,RepLoisFrankel,RepLoisFrankel,reploisfrankel,Mayor of West Palm BeachFlorida House of Representatives,Boston University (BA)Georgetown University (JD),No
Lori Trahan,Lori,Trahan,Massachusetts' 3rd,Representative,Democratic,2018,Woman,White - Portuguese-American,Christian - Roman Catholic,No,Won,N/A,10/27/1973,47,RepLoriTrahan,,,"Businesswoman, Chief of Staff to Rep. Marty Meehan",Georgetown University (BA),No
Lou Correa,Lou,Correa,California's 46th,Representative,Democratic,2016,Man,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,1/24/1958,63,reploucorrea,RepLouCorrea,,California State SenateOrange County Board of SupervisorsCalifornia State Assembly,"California State University, Fullerton (BA)University of California, Los Angeles (JD, MBA)",No
Louie Gohmert,Louie,Gohmert,Texas' 1st,Representative,Republican,2004,Man,White - Non-Hispanic,Christian - Protestant - Southern Baptist,No,Won,N/A,8/18/1953,67,RepLouieGohmert,50375006903,GohmertTX01,Texas appeals court judge,Texas A&M University (BA)Baylor University (JD),Yes
Lucille Roybal-Allard,Lucille,Roybal-Allard,California's 40th,Representative,Democratic,1992,Woman,Hispanic - Mexican,Christian - Roman Catholic,No,Won,N/A,6/12/1941,80,RepRoybalAllard,RepRoybalAllard,RepRoybalAllard,California State Assembly Public relations executive,"California State University, Los Angeles (BA)",No
Lucy McBath,Lucy,McBath,Georgia's 6th,Representative,Democratic,2018,Woman,Black - African-American,Christian - Protestant,No,Won,N/A,6/1/1960,61,replucymcbath,,,Activist,Virginia State University (BA),No
Madeleine Dean,Madeleine,Dean,Pennsylvania's 4th,Representative,Democratic,2018,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/6/1959,62,RepDean,,,Pennsylvania House of Representatives,La Salle University (BA)Widener University (JD),No
Madison Cawthorn,Madison,Cawthorn,North Carolina's 11th,Representative,Republican,2020,Man,White - Non-Hispanic,Christian - Protestant,No,Vacant - Resigned,N/A,8/1/1995,25,RepCawthorn,,,Congressional staffer[57] Restaurant worker[58],Patrick Henry College,No
Marc Veasey,Marc,Veasey,Texas' 33rd,Representative,Democratic,2012,Man,Black - African-American,Christian - Protestant - Southern Baptist,No,Won,N/A,1/3/1971,50,RepVeasey,CongressmanMarcVeasey,marcveasey,Texas House of Representatives,Texas Wesleyan University (BA),No
Marcy Kaptur,Marcy,Kaptur,Ohio's 9th,Representative,Democratic,1982,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,6/17/1946,75,RepMarcyKaptur,RepresentativeMarcyKaptur,USRepMarcyKaptur,"Domestic Policy Advisor, Carter Adm.",University of Wisconsin–Madison (BA)University of Michigan (MUP)Massachusetts Institute of Technology,No
María Elvira Salazar,María Elvira,Salazar,Florida's 27th,Representative,Republican,2020,Woman,Hispanic - Cuban,Christian - Protestant,No,Lost,N/A,11/1/1961,59,RepMariaSalazar,,,News anchor  Journalist,Miami Dade CollegeUniversity of Miami (BA)Harvard University (MPA),No
Mariannette Miller-Meeks,Mariannette,Miller-Meeks,Iowa's 2nd,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Retired,N/A,9/6/1955,65,RepMMM,,,Iowa SenatePhysicianU.S. Army Lieutenant Colonel,"Texas Christian University (BS)University of Southern California (MS)University of Texas, San Antonio (MD)",Yes
Marie Newman,Marie,Newman,Illinois' 3rd,Representative,Democratic,2020,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Open - Lost in primary,N/A,4/13/1964,57,RepMarieNewman,,,Businesswoman  Activist,University of Wisconsin–Madison (BA),No
Marilyn Strickland,Marilyn,Strickland,Washington's 10th,Representative,Democratic,2020,Woman,Black - African-American/Asian - Korean,Christian - Protestant,No,Open - Ran for lieutenant governor,N/A,9/25/1962,58,RepStricklandWA,,,Mayor of Tacoma,University of Washington (BA)Clark Atlanta University (MBA),No
Mario Diaz-Balart,Mario,Diaz-Balart,Florida's 25th,Representative,Republican,2002,Man,Hispanic - Cuban,Christian - Roman Catholic,No,Won,N/A,9/25/1961,59,MarioDB,mdiazbalart,MarioDiazBalart,Florida SenateFlorida House of Representatives,University of South Florida (BA),No
Marjorie Taylor Greene,Marjorie Taylor,Greene,Georgia's 14th,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant,No,Vacant - Resigned,N/A,5/27/1974,47,RepMTG,,,Businesswoman  Activist,University of Georgia (BBA),No
Mark Amodei,Mark,Amodei,Nevada's 2nd,Representative,Republican,2011 Special,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,6/12/1958,63,MarkAmodeiNV2,MarkAmodeiNV2,markamodeinv2,Nevada SenateNevada Assembly,"University of Nevada, Reno (BA)University of the Pacific (JD)",Yes
Mark DeSaulnier,Mark,DeSaulnier,California's 11th,Representative,Democratic,2014,Man,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,3/31/1952,69,RepDeSaulnier,RepMarkDeSaulnier,,California State SenateCalifornia State AssemblyContra Costa County Board of Supervisors,College of the Holy Cross (BA),No
Mark Green,Mark,Green,Tennessee's 7th,Representative,Republican,2018,Man,White - Non-Hispanic,Christian - Protestant,No,Won,N/A,11/8/1964,56,RepMarkGreen,,,Tennessee Senate,United States Military Academy (BS)University of Southern California (MA)Wright State University (MD),Yes
Mark Pocan,Mark,Pocan,Wisconsin's 2nd,Representative,Democratic,2012,Man,White - Non-Hispanic,Unknown/Refused,Gay,Won,N/A,8/14/1964,56,RepMarkPocan,repmarkpocan,repmarkpocan,Wisconsin State Assembly,University of Wisconsin–Madison (BA),No
Mark Takano,Mark,Takano,California's 41st,Representative,Democratic,2012,Man,Asian - Japanese,Christian - Protestant - Methodist,Gay,Won,N/A,12/10/1960,60,RepMarkTakano,RepMarkTakano,RepMarkTakano,Teacher,"Harvard University (BA)University of California, Riverside (MFA)",No
Markwayne Mullin,Markwayne,Mullin,Oklahoma's 2nd,Representative,Republican,2012,Man,Native American - Cherokee Nation,Christian - Evangelical Protestant - Pentecostal,No,Won,N/A,7/26/1977,43,RepMullin,RepMullin,,Businessman,"Missouri Valley CollegeOklahoma State University, Okmulgee",No
Mary Gay Scanlon,Mary Gay,Scanlon,Pennsylvania's 5th,Representative,Democratic,2018 Special,Woman,White - Non-Hispanic,Christian - Roman Catholic,No,Won,N/A,8/30/1959,61,RepMGS,,,Attorney,Colgate University (BA)University of Pennsylvania (JD),No
Mary Miller,Mary,Miller,Illinois' 15th,Representative,Republican,2020,Woman,White - Non-Hispanic,Christian - Protestant,No,Open - Retired,N/A,8/27/1959,61,RepMaryMiller,,,Farmer,"Eastern Illinois University (BA, BS)",No
